   bsg         minfreq         maxfreq       bandwidth   linename        restfreq
   ---         -------         -------       ---------   --------        --------
b0s1g0     4825.015200     4836.394400       11.379200       none        0.000000
b0s1g1     4773.103200     4784.482400       11.379200       none        0.000000
b1s1g0     4588.365600     4599.744800       11.379200       none        0.000000
b1s1g1     4613.817600     4625.196800       11.379200      h112a     4618.790000
b2s1g0     4652.984000     4738.328000       85.344000       none        0.000000
b2s1g1     4571.000000     4656.344000       85.344000     h112ab     4618.790000
b3s1g0     4823.656000     4909.000000       85.344000      h110a     4874.160000
b3s1g1     4741.672000     4827.016000       85.344000      h111a     4744.180000
b4s1g0     4993.656000     5079.000000       85.344000      h109a     5008.920000
b4s1g1     4911.672000     4997.016000       85.344000       none        0.000000
b5s1g0     5163.656000     5249.000000       85.344000       none        0.000000
b5s1g1     5081.672000     5167.016000       85.344000      h108a     5148.700000
b6s1g0     5333.656000     5419.000000       85.344000       none        0.000000
b6s1g1     5251.672000     5337.016000       85.344000      h107a     5293.730000
