name    freq    Tupper
CCS     5.40262 10.83136
Ha112   4.61879 1e4
Ha111   4.74418 1e4
Ha110   4.87416 1e4
Ha109   5.00892 1e4
Ha108   5.14870 1e4
Ha107   5.29373 1e4
Ha106   5.44426 1e4
Ha105   5.60055 1e4
H2C18O  4.38880 15.30187
H213CO  4.59309 15.34693
H2COF10 4.82964 15.39497
H2COF01 4.82966 15.39497
H2COF22 4.82966 15.39497
H2CO    4.82966 15.39497
H2COF21 4.82966 15.39497
H2COF12 4.82967 15.39497
H2COF11 4.82967 15.39497
HDCO    5.34614 11.18287
H2CNn66 4.77777 15.52024
H2CNn55 4.94103 15.54246
H2CNn11 4.96386 15.54370
OHJ0pt5F0mm1p 4.66024 181.93078
OHJ0pt5F1mm1p 4.75066 181.93512
OHJ0pt5F1mm0p 4.76556 181.93512
OHJ3pt5F3pm4m 5.44944 617.89700
OHJ3pt5F3pm3m 5.47304 617.89699
OHJ3pt5F4pm4m 5.52344 617.90056
OHJ3pt5F4pm3m 5.54704 617.90054
Hb      3.82037 1e4
Hb      3.89730 1e4
Hb      3.97630 1e4
Hb      4.05745 1e4
Hb      4.14082 1e4
Hb      4.22650 1e4
Hb      4.31455 1e4
Hb      4.40507 1e4
Hb      4.49814 1e4
Hb141   4.59385 1e4
Hb140   4.69229 1e4
Hb139   4.79357 1e4
Hb138   4.89778 1e4
Hb137   5.00503 1e4
Hb136   5.11544 1e4
Hb135   5.22912 1e4
Hb134   5.34620 1e4
Hb133   5.46679 1e4
Hb      5.59104 1e4
Hb      5.71909 1e4
Hg      3.84404 1e4
Hg      3.91168 1e4
Hg      3.98092 1e4
Hg      4.05181 1e4
Hg      4.12438 1e4
Hg      4.19870 1e4
Hg      4.27482 1e4
Hg      4.35278 1e4
Hg      4.43266 1e4
Hg162      4.51450 1e4
Hg161      4.59837 1e4
Hg160      4.68433 1e4
Hg159      4.77244 1e4
Hg158      4.86278 1e4
Hg157      4.95541 1e4
Hg156      5.05041 1e4
Hg155      5.14786 1e4
Hg154      5.24783 1e4
Hg153      5.35040 1e4
Hg152      5.45566 1e4
Hg      5.56371 1e4
Hg      5.67462 1e4
Hg      5.78851 1e4
Hd      3.83587 1e4
Hd      3.89709 1e4
Hd      3.95962 1e4
Hd      4.02349 1e4
Hd      4.08875 1e4
Hd      4.15542 1e4
Hd      4.22355 1e4
Hd      4.29318 1e4
Hd      4.36435 1e4
Hd      4.43710 1e4
Hd178      4.51147 1e4
Hd177      4.58752 1e4
Hd176      4.66528 1e4
Hd175      4.74482 1e4
Hd174      4.82617 1e4
Hd173      4.90939 1e4
Hd172      4.99454 1e4
Hd171      5.08167 1e4
Hd170      5.17084 1e4
Hd169      5.26210 1e4
Hd168      5.35552 1e4
Hd167      5.45117 1e4
Hd      5.54912 1e4
Hd      5.64942 1e4
Hd      5.75215 1e4
Heps    3.84581 1e4
Heps    3.90280 1e4
Heps    3.96092 1e4
Heps    4.02020 1e4
Heps    4.08066 1e4
Heps    4.14235 1e4
Heps    4.20528 1e4
Heps    4.26949 1e4
Heps    4.33502 1e4
Heps    4.40190 1e4
Heps    4.47016 1e4
Heps191    4.53984 1e4
Heps190    4.61098 1e4
Heps189    4.68360 1e4
Heps188    4.75777 1e4
Heps187    4.83350 1e4
Heps186    4.91086 1e4
Heps185    4.98987 1e4
Heps184    5.07059 1e4
Heps183    5.15305 1e4
Heps182    5.23732 1e4
Heps181    5.32343 1e4
Heps180    5.41144 1e4
Heps    5.50140 1e4
Heps    5.59337 1e4
Heps    5.68740 1e4
Heps    5.78355 1e4
H2CNF11h11h    5.02968  121.71590
H2CNF13h13h    5.03584  121.71419
H2CNF11h11h    5.03675  121.71480
H2CNF9h9h,     5.03915  121.71564
H2CNF13h13h    5.04598  121.71179
H2CNF11h11h    5.04612  121.71238
H2CNF15h15h    5.04693  121.71155
H2CNF15h15h    5.07214  121.69391
H2CNF13h13h    5.07410  121.69358
H2CNF11h11h    5.07483  121.69318
H2CNF9h9h,     5.08136  121.68975
H2CNF11h11h    5.08258  121.69053
H2CNF13h13h    5.08347  121.69129
H2CNF13h13h    5.08605  121.70408
H2CNF15h15h    5.08838  121.70520
H2CNF17h17h    5.09082  121.70632
CH3OH   5.00533    28.58828
tHCOOH  4.91632 6.53401
CH2NH    5.29012 11.07918
HC5N_F22 5.32405 0.38356
HC5N_F10 5.32426 0.38357
HC5N_F21 5.32433 0.38358
HC5N     5.32533 0.38362
HC5N_F32 5.32542 0.38363
HC5N_F11 5.32747 0.38373
NH2CHO   4.61856 6.14507
